Metric,Value,Year,Units,Source,Excel Tab
Total Steel CCS capacity,1.8,2024,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,1.8,2025,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,1.801438257,2026,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,2.94430719,2027,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,4.807019258,2028,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,7.834333275,2029,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,12.73166703,2030,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,20.59516431,2031,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,33.07104477,2032,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,52.49351173,2033,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,81.85673364,2034,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,124.3376023,2035,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,182.040927,2036,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,254.0553566,2037,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,335,2038,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,415.9446434,2039,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,487.959073,2040,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,545.6623977,2041,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,588.1432664,2042,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,617.5064883,2043,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,636.9289552,2044,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,649.4048357,2045,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,657.268333,2046,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,662.1656667,2047,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,665.1929807,2048,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,667.0556928,2049,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
Total Steel CCS capacity,670,2050,Mt Steel,https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions#abstract,Tech Availability
