,year,steel_plant,technology,capacity,production,low_carbon_tech,bf_gas,bf_slag,bof_gas,biomass,biomethane,cog,coke,dri,electricity,hydrogen,iron_ore,met_coal,natural_gas,other_slag,plastic_waste,process_emissions,scrap,steam,thermal_coal,captured_co2,coal,used_co2,power,bioenergy,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario
15,2020,ArcelorMittal Monlevade steel plant,Avg BF-BOF,3.5,4.217211677978039,N,15.777162933605357,1.2988548074887782,1.3775732806699161,0,0,6.866051018121123,31.365375639024464,0,0.0,0,5.76572123679813,43.40485444200385,1.27640176101953,537.6944889422,0,0.2974399396477911,0.7097567254037039,1.3408291749957664,23.220705836559475,0,0,0,0.0,0,True,False,True,average,average,average
16,2020,ArcelorMittal Resende steel plant,EAF,1.0,1.2049176222794398,N,0.0,0.0,0.0,0,0,0.0,0.0,0,2.754224799358789,0,0.0,0.5850116039691136,1.7869892272501915,221.22287545050514,0,0.09832127797800229,1.3715818277931322,0.3687047924175086,0.0,0,0,0,0.7650624442663303,0,True,False,True,average,average,average
17,2020,Ternium Brasil steel plant,BAT BF-BOF,5.0,6.024588111397199,N,18.205139976223762,1.5817435594711116,1.5098461249496975,0,0,13.408205271712532,29.1304438869263,0,0.0,0,7.021487220456739,40.31205273275416,1.45118334895211,768.1349842031428,0,0.4249141994968444,1.8435239620875428,1.4601622324094572,27.655183303878793,0,0,0,0.0,0,True,False,True,average,average,average
18,2020,Presidente Vargas Steelworks,Avg BF-BOF,2.9,3.494261104610375,N,13.072506430701582,1.0761939833478449,1.141417861126502,0,0,5.68901370072893,25.988454100905983,0,0.0,0,4.7773118819184495,35.96402225194605,1.0575900305590389,445.5182908378228,0,0.24645023570816973,0.5880841439059261,1.1109727449964921,19.24001340743499,0,0,0,0.0,0,True,False,True,average,average,average
19,2020,CSP steel plant,BAT BF-BOF,3.0,3.614752866838319,N,10.923083985734257,0.949046135682667,0.9059076749698185,0,0,8.04492316302752,17.47826633215578,0,0.0,0,4.212892332274043,24.187231639652495,0.870710009371266,460.8809905218857,0,0.2549485196981066,1.1061143772525257,0.8760973394456744,16.593109982327277,0,0,0,0.0,0,True,False,True,average,average,average
20,2020,ArcelorMittal Piracicaba steel plant,EAF,1.1,1.3254093845073838,N,0.0,0.0,0.0,0,0,0.0,0.0,0,3.029647279294668,0,0.0,0.643512764366025,1.9656881499752106,243.34516299555565,0,0.10815340577580253,1.5087400105724453,0.40557527165925944,0.0,0,0,0,0.8415686886929633,0,True,False,True,average,average,average
21,2020,Gerdau Cosigua steel plant,EAF,1.2,1.4459011467353275,N,0.0,0.0,0.0,0,0,0.0,0.0,0,3.3050697592305465,0,0.0,0.7020139247629362,2.1443870727002294,265.46745054060614,0,0.11798553357360274,1.6458981933517585,0.44244575090101024,0.0,0,0,0,0.9180749331195962,0,True,False,True,average,average,average
22,2020,Usiminas Ipatinga steel plant,Avg BF-BOF,3.5,4.217211677978039,N,15.777162933605357,1.2988548074887782,1.3775732806699161,0,0,6.866051018121123,31.365375639024464,0,0.0,0,5.76572123679813,43.40485444200385,1.27640176101953,537.6944889422,0,0.2974399396477911,0.7097567254037039,1.3408291749957664,23.220705836559475,0,0,0,0.0,0,True,False,True,average,average,average
23,2020,Vallourec Jeceaba steel plant,EAF,1.0,1.2049176222794398,N,0.0,0.0,0.0,0,0,0.0,0.0,0,2.754224799358789,0,0.0,0.5850116039691136,1.7869892272501915,221.22287545050514,0,0.09832127797800229,1.3715818277931322,0.3687047924175086,0.0,0,0,0,0.7650624442663303,0,True,False,True,average,average,average
24,2020,ArcelorMittal Juiz de Fora steel plant,EAF,2.0,2.4098352445588795,N,0.0,0.0,0.0,0,0,0.0,0.0,0,5.508449598717578,0,0.0,1.1700232079382271,3.573978454500383,442.4457509010103,0,0.19664255595600458,2.7431636555862644,0.7374095848350172,0.0,0,0,0,1.5301248885326606,0,True,False,True,average,average,average
25,2020,Byelorussian Steel Works,EAF,3.0,3.614752866838319,N,0.0,0.0,0.0,0,0,0.0,0.0,0,8.262674398076367,0,0.0,1.755034811907341,5.360967681750574,663.6686263515154,0,0.2949638339340069,4.114745483379396,1.1061143772525257,0.0,0,0,0,2.295187332798991,0,True,False,True,average,average,average
26,2020,ArcelorMittal Contrecoeur steel plant,DRI-EAF,0.8799999999999971,1.0603275076059036,N,0.0,0.0,0.0,0,0,0.0,0.0,0,2.2879913637096188,0,1.5100308738026678,0.0,14.792003658167292,292.0141955946658,0,0.08652272462064174,0.0,0.3244602173274065,0.0,0,0,0,0.6355531565860052,0,True,False,True,average,average,average
27,2020,ArcelorMittal Dofasco steel plant,Avg BF-BOF,2.35,2.8315564123566834,N,10.593237969706456,0.8720882278853227,0.9249420598783723,0,0,4.610062826452754,21.059609357630713,0,0.0,0,3.8712699732787446,29.143259411059734,0.8570126109702558,361.02344257547713,0,0.19970967376351687,0.47655094419962984,0.9002710174971575,15.591045347404219,0,0,0,0.0,0,True,False,True,average,average,average
28,2020,Tenaris Algoma Tubes steel plant,Avg BF-BOF,2.9,3.494261104610375,N,13.072506430701582,1.0761939833478449,1.141417861126502,0,0,5.68901370072893,25.988454100905983,0,0.0,0,4.7773118819184495,35.96402225194605,1.0575900305590389,445.5182908378228,0,0.24645023570816973,0.5880841439059261,1.1109727449964921,19.24001340743499,0,0,0,0.0,0,True,False,True,average,average,average
29,2020,Evraz Regina Steel plant,EAF,1.5,1.8073764334191595,N,0.0,0.0,0.0,0,0,0.0,0.0,0,4.1313371990381835,0,0.0,0.8775174059536704,2.680483840875287,331.8343131757577,0,0.14748191696700344,2.057372741689698,0.5530571886262629,0.0,0,0,0,1.1475936663994954,0,True,False,True,average,average,average
30,2020,Stelco Lake Erie steel plant,Avg BF-BOF,2.4,2.891802293470655,N,10.818626011615102,0.8906432965637336,0.9446216781736567,0,0,4.70814926956877,21.50768615247392,0,0.0,0,3.953637419518717,29.763328760231214,0.8752469218419633,368.70479241750854,0,0.2039588157584853,0.4866903259911113,0.9194257199970969,15.922769716497925,0,0,0,0.0,0,True,False,True,average,average,average
31,2020,CAP Acero steel plant,Avg BF-BOF,1.5,1.8073764334191595,N,6.7616412572594395,0.5566520603523336,0.5903885488585355,0,0,2.9425932934804813,13.4423038452962,0,0.0,0,2.4710233871991982,18.60208047514451,0.5470293261512271,230.44049526094284,0,0.1274742598490533,0.30418145374444455,0.5746410749981856,9.951731072811203,0,0,0,0.0,0,True,False,True,average,average,average
32,2020,"Wuhu Xinxing Ductile Iron Pipes Co., Ltd.",Avg BF-BOF,1.5,1.8073764334191595,N,6.7616412572594395,0.5566520603523336,0.5903885488585355,0,0,2.9425932934804813,13.4423038452962,0,0.0,0,2.4710233871991982,18.60208047514451,0.5470293261512271,230.44049526094284,0,0.1274742598490533,0.30418145374444455,0.5746410749981856,9.951731072811203,0,0,0,0.0,0,True,False,True,average,average,average
33,2020,"Ma'anshan Iron & Steel Co., Ltd.",Avg BF-BOF,10.2325,12.329319569974368,N,46.12566277660481,3.797294805036836,4.027433884129977,0,0,20.073390583692685,91.69891606466226,0,0.0,0,16.856497873010532,126.89719230794415,3.7316517198949546,1571.988245171732,0,0.8695869092702921,2.0750244836266862,3.9200098666126233,67.8873921350271,0,0,0,0.0,0,True,False,True,average,average,average
34,2020,"Anhui Changjiang Steel Co., Ltd.",Avg BF-BOF,5.1,6.145079873625142,N,22.98958027468209,1.892617005197934,2.0073210661190206,0,0,10.004817197833637,45.70383307400707,0,0.0,0,8.401479516477274,63.247073615491324,1.859899708914172,783.4976838872057,0,0.43341248348678124,1.0342169427311114,1.9537796549938309,33.83588564755809,0,0,0,0.0,0,True,False,True,average,average,average
35,2020,"Anhui Guihang Special Steel Co., Ltd.",BAT BF-BOF,3.0,3.614752866838319,N,10.923083985734257,0.949046135682667,0.9059076749698185,0,0,8.04492316302752,17.47826633215578,0,0.0,0,4.212892332274043,24.187231639652495,0.870710009371266,460.8809905218857,0,0.2549485196981066,1.1061143772525257,0.8760973394456744,16.593109982327277,0,0,0,0.0,0,True,False,True,average,average,average
36,2020,"Tongling Fuxin Iron and Steel Co., Ltd.",Avg BF-BOF,1.26,1.518196204072094,N,5.679778656097929,0.4675877306959602,0.4959263810411698,0,0,2.4717783665236044,11.291535230048808,0,0.0,0,2.0756596452473266,15.625747599121386,0.45950463396703073,193.570016019192,0,0.10707837827320478,0.2555124211453334,0.4826985029984759,8.359454101161411,0,0,0,0.0,0,True,False,True,average,average,average
37,2020,"Wuhu Fuxin Iron and Steel Co., Ltd.",Avg BF-BOF,2.0,2.4098352445588795,N,9.01552167634592,0.7422027471364449,0.7871847318113807,0,0,3.923457724640642,17.92307179372827,0,0.0,0,3.2946978495989314,24.802773966859345,0.7293724348683028,307.25399368125716,0,0.16996567979873775,0.40557527165925944,0.7661880999975809,13.268974763748272,0,0,0,0.0,0,True,False,True,average,average,average
38,2020,"Chongqing Iron & Steel Co., Ltd.",Avg BF-BOF,8.3,10.00081626491935,N,37.41441495683557,3.080141400616246,3.2668166370172305,0,0,16.282349557258666,74.38074794397231,0,0.0,0,13.672996075835567,102.9315119624663,3.026895604703457,1275.1040737772173,0,0.7053575711647617,1.6831373773859268,3.179680614989961,55.06624526955533,0,0,0,0.0,0,True,False,True,average,average,average
39,2020,"Sichuan Desheng Group Vanadium and Titanium Co., Ltd.",Avg BF-BOF,4.0,4.819670489117759,N,18.03104335269184,1.4844054942728897,1.5743694636227614,0,0,7.846915449281284,35.84614358745654,0,0.0,0,6.589395699197863,49.60554793371869,1.4587448697366057,614.5079873625143,0,0.3399313595974755,0.8111505433185189,1.5323761999951617,26.537949527496544,0,0,0,0.0,0,True,False,True,average,average,average
40,2020,"Fujian Sangang (Group) Co., Ltd.",Avg BF-BOF,12.0,14.459011467353276,N,54.093130058075516,4.453216482818669,4.723108390868284,0,0,23.54074634784385,107.5384307623696,0,0.0,0,19.768187097593586,148.8166438011561,4.376234609209817,1843.5239620875427,0,1.0197940787924265,2.4334516299555564,4.597128599985485,79.61384858248962,0,0,0,0.0,0,True,False,True,average,average,average
41,2020,"Fujian Quanzhou Minguang Iron and Steel Co., Ltd.",BAT BF-BOF,2.55,3.072539936812571,N,9.284621387874116,0.8066892153302668,0.7700215237243456,0,0,6.838184688573391,14.856526382332412,0,0.0,0,3.5809584824329366,20.559146893704618,0.740103507965576,391.7488419436028,0,0.21670624174339062,0.9401972206646467,0.7446827385288232,14.104143484978183,0,0,0,0.0,0,True,False,True,average,average,average
42,2020,"Fujian Sanbao Iron and Steel Co., Ltd.",Avg BF-BOF,4.62,5.566719414931011,N,20.825855072359072,1.7144883458851876,1.8183967304842894,0,0,9.063187343919882,41.40229584351229,0,0.0,0,7.610752032573531,57.29440786344508,1.6848503245457793,709.756725403704,0,0.3926207203350842,0.9368788775328892,1.7698945109944118,30.651331704258507,0,0,0,0.0,0,True,False,True,average,average,average
43,2020,"Fujian Yixin Steel Co., Ltd.",BAT BF-BOF,1.5,1.8073764334191595,N,5.4615419928671285,0.4745230678413335,0.45295383748490925,0,0,4.02246158151376,8.73913316607789,0,0.0,0,2.1064461661370215,12.093615819826248,0.435355004685633,230.44049526094284,0,0.1274742598490533,0.5530571886262629,0.4380486697228372,8.296554991163639,0,0,0,0.0,0,True,False,True,average,average,average
44,2020,"Fujian Luoyuan Minguang Iron and Steel Co., Ltd.",BAT BF-BOF,1.8,2.1688517201029915,N,6.553850391440554,0.5694276814096003,0.5435446049818912,0,0,4.826953897816511,10.486959799293468,0,0.0,0,2.5277353993644263,14.512338983791498,0.5224260056227595,276.5285943131314,0,0.152969111818864,0.6636686263515154,0.5256584036674046,9.955865989396367,0,0,0,0.0,0,True,False,True,average,average,average
45,2020,"Fujian Tsingtuo Nickel Industry Co., Ltd.",EAF,3.0,3.614752866838319,N,0.0,0.0,0.0,0,0,0.0,0.0,0,8.262674398076367,0,0.0,1.755034811907341,5.360967681750574,663.6686263515154,0,0.2949638339340069,4.114745483379396,1.1061143772525257,0.0,0,0,0,2.295187332798991,0,True,False,True,average,average,average
46,2020,"Jiuquan Steel (Group) Co., Ltd.",Avg BF-BOF,3.25,3.915982272408179,N,14.650222724062118,1.206079464096723,1.2791751891934937,0,0,6.375618802541044,29.124991664808434,0,0.0,0,5.353884005598263,40.30450769614644,1.185230206660992,499.28773973204284,0,0.2761942296729489,0.6590598164462966,1.245055662496069,21.56208399109094,0,0,0,0.0,0,True,False,True,average,average,average
47,2020,"Jiugang Group Yuzhong Iron & Steel Co., Ltd.",Close plant,4.0,4.819670489117759,N,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,True,False,True,average,average,average
48,2020,"Baosteel Group Guangdong Shaoguan Iron and Steel Co., Ltd.",Avg BF-BOF,6.6,7.952456307044301,N,29.75122153194153,2.4492690655502676,2.597709614977556,0,0,12.947410491314116,59.14613691930327,0,0.0,0,10.872502903676471,81.84915409063584,2.406929035065399,1013.9381791481484,0,0.5608867433358345,1.338398396475556,2.5284207299920163,43.787616720369286,0,0,0,0.0,0,True,False,True,average,average,average
49,2020,"Baosteel Zhanjiang Iron & Steel Co., Ltd.",BAT BF-BOF,12.528,15.095207971916823,N,45.61479872442626,3.963216662610818,3.7830704506739625,0,0,33.595599128802924,72.98924020308255,0,0.0,0,17.593038379576406,101.00587932718884,3.636084999134407,1924.639016419395,0,1.0646650182592934,4.619133639406548,3.6585824895251364,69.29282728619872,0,0,0,0.0,0,True,False,True,average,average,average
50,2020,"Zhuhai Yueyufeng Iron & Steel Co., Ltd.",BAT BF-BOF,3.5,4.217211677978039,N,12.743597983356633,1.107220491629778,1.0568922874647881,0,0,9.385743690198773,20.39131072084841,0,0.0,0,4.915041054319717,28.21843691292791,1.0158283442664768,537.6944889422,0,0.2974399396477911,1.2904667734612798,1.02211356268662,19.358628312715155,0,0,0,0.0,0,True,False,True,average,average,average
51,2020,"Guangdong Guangqing Metal Technology Co., Ltd.",EAF,2.0,2.4098352445588795,N,0.0,0.0,0.0,0,0,0.0,0.0,0,5.508449598717578,0,0.0,1.1700232079382271,3.573978454500383,442.4457509010103,0,0.19664255595600458,2.7431636555862644,0.7374095848350172,0.0,0,0,0,1.5301248885326606,0,True,False,True,average,average,average
52,2020,"Yangchun New Steel Co., Ltd.",BAT BF-BOF,3.2,3.8557363912942075,N,11.651289584783209,1.0123158780615116,0.9663015199678066,0,0,8.581251373896022,18.643484087632835,0,0.0,0,4.493751821092314,25.799713748962663,0.9287573433293504,491.6063898900115,0,0.2719450876779804,1.1798553357360275,0.9345038287420527,17.69931731448243,0,0,0,0.0,0,True,False,True,average,average,average
53,2020,"Angang Lianzhong (Guangzhou) Stainless Steel Co., Ltd.",EAF,0.0,0.0,N,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,True,False,True,average,average,average
54,2020,"Heyuan Derun Steel Co., Ltd.",EAF,1.2,1.4459011467353275,N,0.0,0.0,0.0,0,0,0.0,0.0,0,3.3050697592305465,0,0.0,0.7020139247629362,2.1443870727002294,265.46745054060614,0,0.11798553357360274,1.6458981933517585,0.44244575090101024,0.0,0,0,0,0.9180749331195962,0,True,False,True,average,average,average
55,2020,"Heping Yueshen Steel Industry Co., Ltd.",EAF,0.0,0.0,N,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,True,False,True,average,average,average
