year,plant,country_code,start_tech,end_tech,switch_type,capital_cost,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2023,No. 8 Ironworks steel plant,PRK,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,Alfa Acciai steel plant,ITA,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,"Baoshan Iron and Steel Co., Ltd. Headquarters",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Al Ittefaq Steel plant,SAU,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,Tosyali Algerie steel plant,DZA,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Africa,Africa,Northern Africa
2023,"Inner Mongolia Desheng Metal Products Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,AFV Beltrame Vicenza steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Solb Steel plant,SAU,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,ArcelorMittal Sestao steel plant,ESP,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,TYASA steel plant,MEX,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Central America
2023,"Jilin Xinda Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Kim Chaek Iron and Steel Complex steel plant,PRK,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,"Hebei Xin Wu'an Steel Group Wen'an Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Shandong Laigang Yongfeng Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Inner Mongolia Baotou Jiyu Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,ArcelorMittal Monlevade steel plant,BRA,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,Central and South America,South America,South America
2023,Tenaris Dalmine steel plant,ITA,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,SABIC Hadeed steel plant,SAU,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,JSW Steel Piombino steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Lion Industries Amsteel II steel plant,MYS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,"Hebei Xinwu'an Iron and Steel Group Xinhui Metallurgy Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Voestalpine Stahl Linz steel plant,AUT,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,Dongkuk Steel Incheon steel plant,KOR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,Liberty Republic Steel Canton plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2023,"Tangshan Medium Thick Plate Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Wenshui Haiwei Steel Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Xinyu Steel Group Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,ILVA Taranto steel plant,ITA,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Tata Steel Natsteel plant,SGP,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,"Jiangsu Shagang Group Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Riva Brandenburg Electric Steel Works,DEU,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,Ternium San Nicolás de los Garza steel plant,MEX,DRI-EAF,Close plant,main cycle,0.0,True,False,True,average,average,average,USMCA,North America,Central America
2023,KG Dongbu Steel Dangjin steel plant,KOR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,"Tangshan Fengnan District Jing'an Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Shanxi Zhongyang Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Acerinox Europa steel plant,ESP,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Hoa Phat Dung Quat steel plant,VNM,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,Danieli ABS steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Nippon Ovako Smedjebacken steel plant,SWE,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Northern Europe
2023,"Jilin Jianlong Steel Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Inner Mongolia Yaxin Longshun Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Zhongpu (Handan) Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Taiyuan Iron & Steel (Group) Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,ArcelorMittal Resende steel plant,BRA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Central and South America,South America,South America
2023,Deacero Ramos Arizpe steel plant,MEX,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Central America
2023,SSAB Luleå steel plant,SWE,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,EU + UK,Europe,Northern Europe
2023,Taedonggang Ironworks steel plant,PRK,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,"Baotou Da'an Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Tung Ho Steel plant,VNM,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,"Jilin Jingang Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Wu'an Mingfang Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Hong Leong Southern Steel plant,MYS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,Ch'ŏngjin Ironworks steel plant,PRK,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,"Tangshan Jinma Steel Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Steel Dynamics Columbus plant,USA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,USMCA,North America,Northern America
2023,Pittini Siderpotenza steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Novosibirsk Kuzmin Metallurgical Plant,RUS,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,"Hengyang Valin Steel Tube Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Viet Steel Pomina Steel plant,VNM,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,"Hebei Xinda Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Shandong Fulun Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,Close plant,main cycle,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Premium Steel and Mines Limited plant,NGA,DRI-EAF,DRI-EAF,no switch,186.55603236551863,True,False,True,average,average,average,Africa,Africa,Western Africa
