,year,steel_plant,technology,capacity,country_code,production,low_carbon_tech,s1_emissions,s2_emissions,s3_emissions,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
0,2020,GHC Emirates Steel Industries plant,DRI-EAF+CCUS,1.6719999999999946,ARE,2.0146222644512166,Y,1.7783153153760367,0.5270892817468523,0.29580838682744204,True,False,True,average,average,average,Other Asia,Asia,Western Asia
1,2020,ArcelMittal Acindar steel plant,DRI-EAF,0.8799999999999971,ARG,1.0603275076059036,N,0.9000829258198428,0.2774154114457118,0.1498725847322276,True,False,True,average,average,average,Central and South America,South America,South America
2,2020,TenarisSiderca Seamless Tubes Mill steel plant,DRI-EAF,0.8799999999999971,ARG,1.0603275076059036,N,0.9000829258198428,0.2774154114457118,0.1498725847322276,True,False,True,average,average,average,Central and South America,South America,South America
3,2020,Ternium Siderar steel plant,Avg BF-BOF,3.2,ARG,3.8557363912942075,N,9.648080670809133,0.0,0.8513750923689717,True,False,True,average,average,average,Central and South America,South America,South America
4,2020,Voestalpine Stahl Linz steel plant,Close plant,6.0,AUT,7.229505733676638,N,0.0,0.0,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
5,2020,Voestalpine Stahl Donawitz steel plant,Avg BF-BOF,1.5,AUT,1.8073764334191595,N,4.5225378144417805,0.0,0.3990820745479554,True,False,True,average,average,average,EU + UK,Europe,Western Europe
6,2020,BlueScope Port Kembla steel plant,Avg BF-BOF,2.6,AUS,3.132785817926543,N,7.839065545032419,0.0,0.6917422625497893,True,False,True,average,average,average,Oceania,Oceania,Australia and New Zealand
7,2020,GFG Liberty Steel Australia Whyalla steel plant,Close plant,2.6,AUS,3.132785817926543,N,0.0,0.0,0.0,True,False,True,average,average,average,Oceania,Oceania,Australia and New Zealand
8,2020,ArcelorMittal Zenica steel plant,Avg BF-BOF,0.5,BIH,0.6024588111397199,N,1.507512604813927,0.0,0.13302735818265182,True,False,True,average,average,average,Other Europe,Europe,Southern Europe
9,2020,ArcelorMittal Ghent steel plant,Close plant,5.5,BEL,6.627046922536919,N,0.0,0.0,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
10,2020,HSBC Aperam Genk steel plant,Close plant,0.0,BEL,0.0,N,0.0,0.0,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
11,2020,HSBC Aperam Stainless Belgium steel plant,EAF,1.0,BEL,1.2049176222794398,N,0.19660568547676285,0.33394549387165995,0.023408950434849373,True,False,True,average,average,average,EU + UK,Europe,Western Europe
12,2020,Sidenor Stomana Industry steel plant,EAF,1.4,BGR,1.6868846711912153,N,0.2752479596674679,0.46752369142032385,0.03277253060878912,True,False,True,average,average,average,EU + UK,Europe,Eastern Europe
13,2020,Gerdau Açominas steel plant,Close plant,7.6,BRA,9.157373929323743,N,0.0,0.0,0.0,True,False,True,average,average,average,Central and South America,South America,South America
14,2020,ArcelorMittal Tubarão steel plant,Avg BF-BOF,7.5,BRA,9.036882167095797,N,22.6126890722089,0.0,1.995410372739777,True,False,True,average,average,average,Central and South America,South America,South America
15,2020,ArcelorMittal Monlevade steel plant,Avg BF-BOF,3.5,BRA,4.217211677978039,N,10.552588233697488,0.0,0.9311915072785626,True,False,True,average,average,average,Central and South America,South America,South America
16,2020,ArcelorMittal Resende steel plant,EAF,1.0,BRA,1.2049176222794398,N,0.19660568547676285,0.33394549387165995,0.023408950434849373,True,False,True,average,average,average,Central and South America,South America,South America
17,2020,Ternium Brasil steel plant,BAT BF-BOF,5.0,BRA,6.024588111397199,N,11.806696136112425,0.0,0.9648347192316854,True,False,True,average,average,average,Central and South America,South America,South America
18,2020,Presidente Vargas Steelworks,Avg BF-BOF,2.9,BRA,3.494261104610375,N,8.743573107920776,0.0,0.7715586774593804,True,False,True,average,average,average,Central and South America,South America,South America
19,2020,CSP steel plant,BAT BF-BOF,3.0,BRA,3.614752866838319,N,7.084017681667454,0.0,0.5789008315390112,True,False,True,average,average,average,Central and South America,South America,South America
20,2020,ArcelorMittal Piracicaba steel plant,EAF,1.1,BRA,1.3254093845073838,N,0.21626625402443914,0.36734004325882597,0.02574984547833431,True,False,True,average,average,average,Central and South America,South America,South America
21,2020,Gerdau Cosigua steel plant,EAF,1.2,BRA,1.4459011467353275,N,0.2359268225721154,0.40073459264599187,0.028090740521819244,True,False,True,average,average,average,Central and South America,South America,South America
22,2020,Usiminas Ipatinga steel plant,Avg BF-BOF,3.5,BRA,4.217211677978039,N,10.552588233697488,0.0,0.9311915072785626,True,False,True,average,average,average,Central and South America,South America,South America
23,2020,Vallourec Jeceaba steel plant,EAF,1.0,BRA,1.2049176222794398,N,0.19660568547676285,0.33394549387165995,0.023408950434849373,True,False,True,average,average,average,Central and South America,South America,South America
24,2020,ArcelorMittal Juiz de Fora steel plant,EAF,2.0,BRA,2.4098352445588795,N,0.3932113709535257,0.6678909877433199,0.046817900869698746,True,False,True,average,average,average,Central and South America,South America,South America
25,2020,Byelorussian Steel Works,EAF,3.0,BLR,3.614752866838319,N,0.5898170564302885,1.0018364816149798,0.07022685130454812,True,False,True,average,average,average,CIS,Europe,Eastern Europe
26,2020,ArcelorMittal Contrecoeur steel plant,DRI-EAF,0.8799999999999971,CAN,1.0603275076059036,N,0.9000829258198428,0.2774154114457118,0.1498725847322276,True,False,True,average,average,average,USMCA,North America,Northern America
