Metric,Region,Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Scrap availability,South and Central America,BAU,26.04006145,26.5547262,27.05594921,27.54558812,28.02818237,28.50764228,28.98508194,29.46012912,29.93227838,30.40081731,30.86551892,31.32714899,31.78735749,32.24856726,32.71369668,33.18620201,33.66896257,34.16432011,34.67352414,35.19699366,35.73462507,36.28630896,36.85181067,37.43117804,38.02413583,38.63023652,39.24852406,39.87747208,40.51561127,41.16178194,41.81530127
Scrap availability,Middle East,BAU,29.69313304,30.30251179,30.90687139,31.50230224,32.08771007,32.66434815,33.2322213,33.79410337,34.35161702,34.90616274,35.45927559,36.01018459,36.55906554,37.10845226,37.66197409,38.22309738,38.79567402,39.38355839,39.99038023,40.61881028,41.2704722,41.94535882,42.64274506,43.36080531,44.09808693,44.85267912,45.62270942,46.40681564,47.2027627,48.00760913,48.817835
Scrap availability,Africa,BAU,18.45768295,18.96233663,19.46530805,19.96792159,20.47483011,20.98971408,21.51405276,22.04939296,22.59704941,23.1583922,23.73500285,24.32914716,24.9434425,25.5815568,26.24779554,26.94677581,27.68319848,28.46173557,29.28619833,30.15941875,31.08318227,32.05878931,33.08760156,34.17129089,35.31152434,36.51009639,37.76867271,39.08915518,40.47305254,41.92155581,43.4358693
Scrap availability,CIS,BAU,35.21278789,35.72669619,36.22304432,36.70901986,37.19033401,37.66851314,38.14343607,38.61559588,39.08556768,39.55390722,40.0211997,40.48798383,40.95422809,41.41976675,41.88338143,42.34329824,42.79692393,43.24172365,43.67526513,44.09541302,44.50084904,44.89096089,45.26599515,45.62581039,45.97037174,46.30037535,46.61692915,46.92203064,47.21917898,47.5115093,47.80156272
Scrap availability,Southeast Asia,BAU,44.00049059,44.8984201,45.81064681,46.73921673,47.68666421,48.65543513,49.6471568,50.66385991,51.70849197,52.78449902,53.89553975,55.04561227,56.24007037,57.4830694,58.77878373,60.13107193,61.54287479,63.01681899,64.55534684,66.15925948,67.82816455,69.56063202,71.35451854,73.20731457,75.11617135,77.0770726,79.086021,81.13958276,83.23438371,85.36690464,87.53321358
Scrap availability,RoW,BAU,14.04315721,14.36927076,14.69930274,15.03352688,15.37158989,15.71295704,16.05681503,16.40324257,16.75159383,17.10215144,17.45525877,17.81147659,18.17165265,18.53779765,18.91190848,19.2962736,19.69387298,20.10668375,20.53703659,20.98639755,21.45586826,21.94654872,22.45941072,22.99493947,23.5540991,24.13743618,24.74512802,25.37698206,26.03250975,26.71126347,27.41338347
Scrap availability,China,High Circ,150.6682373,155.5807826,161.7677398,169.0969341,177.6807197,187.6417639,199.0654145,212.006352,226.5255732,242.7032745,260.6140782,279.4666322,299.8752742,321.6969829,344.7174437,368.6723224,392.559577,416.6835486,440.7402564,464.5086976,488.7113679,512.2615544,534.7140456,555.8470472,575.450043,593.32761,609.3066064,623.2450791,635.040919,644.6384994,652.0324204
Scrap availability,Europe,High Circ,131.8770471,134.06935,136.0847495,137.902384,139.5086831,140.9106017,142.1400821,143.2680557,144.3956771,145.6222995,147.0165935,148.1588648,149.4201008,150.7067465,151.9149265,152.9548063,153.4926588,153.7781863,153.8213255,153.6958753,153.7014702,153.5965322,153.3710846,153.0443326,152.6279206,152.1294895,151.5549576,150.908856,150.1939513,149.4114283,148.5589657
Scrap availability,NAFTA,High Circ,115.8754324,117.0336748,118.1021428,119.0887491,119.9974767,120.8329237,121.6011915,122.3105212,122.9710475,123.5949108,124.1953903,124.4083992,124.6202581,124.8426221,125.0845254,125.3518258,125.4234616,125.5183042,125.6310865,125.7929276,126.2220625,126.6512995,127.0293543,127.3393358,127.5654971,127.6944583,127.7161797,127.6233197,127.4105436,127.0737834,126.6089532
Scrap availability,India,High Circ,18.79811957,19.5541015,20.31624288,21.08918967,21.87961457,22.6935005,23.53445362,24.40595794,25.31000434,26.24760015,27.21886524,28.18022501,29.1678751,30.18158056,31.22205853,32.2915866,33.3526381,34.44793847,35.58502258,36.80430084,38.56619163,40.51327644,42.55508956,44.69381145,46.9290767,49.25797965,51.6755077,54.17537298,56.75047123,59.39343252,62.09710287
Scrap availability,"Japan, South Korea, and Taiwan",High Circ,125.1662029,125.4643483,125.7711998,126.0714044,126.3218683,126.4625272,126.4633693,126.3623178,126.2320506,126.1070866,125.966584,125.4090974,124.8061764,124.1585854,123.4668785,122.7302755,121.7317667,120.6948898,119.6260227,118.5633648,117.7015965,116.8323966,115.9286459,114.9883453,114.009862,112.9913923,111.9314663,110.8287513,109.681107,108.4865073,107.2405276
Scrap availability,South and Central America,High Circ,28.15662443,28.59307775,29.01023398,29.41232298,29.80536654,30.19402061,30.5800013,30.96348197,31.34426713,31.7217417,32.09538914,32.3918799,32.68222406,32.96738392,33.24907109,33.53011525,33.75961524,33.99516877,34.24148801,34.51215571,34.91629516,35.36161,35.82634208,36.30770956,36.80109263,37.30087265,37.80123176,38.29694981,38.78406756,39.26009485,39.72387331
Scrap availability,Middle East,High Circ,31.8083785,32.32091115,32.81617123,33.29251917,33.75093574,34.19454982,34.62558654,35.04832747,35.46565113,35.879906,36.29318936,36.62358842,36.95104545,37.2776902,37.6061115,37.93877345,38.21662682,38.50323395,38.80242467,39.12967848,39.62428244,40.17169921,40.74717359,41.35194435,41.9856077,42.6454578,43.32671897,44.02319167,44.72761527,45.43268048,46.13190897
Scrap availability,Africa,High Circ,20.89817159,21.31679582,21.71953534,22.10867724,22.48899204,22.86376399,23.23406104,23.60075087,23.96431687,24.32512827,24.68359894,24.99024932,25.29432467,25.59758287,25.90243547,26.21196337,26.49107658,26.78186555,27.08922201,27.43102724,27.98065765,28.60801182,29.28190184,30.00335481,30.77156148,31.58414705,32.43762451,33.32823441,34.25245637,35.2075765,36.19204212
Scrap availability,CIS,High Circ,36.39223069,36.83551894,37.27450039,37.71737015,38.16969748,38.63268972,39.1058906,39.58913589,40.08217965,40.58467626,41.09628635,41.50514381,41.91810594,42.33448944,42.75291168,43.17137927,43.51304018,43.8456727,44.1639843,44.47182719,44.84179556,45.18731652,45.48859502,45.74228306,45.9477588,46.10731832,46.2254276,46.30786255,46.36076745,46.38921437,46.39671151
Scrap availability,Southeast Asia,High Circ,45.45772923,46.16017918,46.85496033,47.54454722,48.23159818,48.91850519,49.60698376,50.2992568,50.99849753,51.70862988,52.43428706,53.05871635,53.70553591,54.3809573,55.0914094,55.84296444,56.54856686,57.30051647,58.10136525,58.97534914,60.19129931,61.51466301,62.88725826,64.30406081,65.75948414,67.24737017,68.76163584,70.29671743,71.84768268,73.41029503,74.9808595
Scrap availability,RoW,High Circ,16.63159178,16.90423999,17.1755793,17.44602298,17.71538916,17.98335944,18.24942774,18.51376593,18.77594742,19.03613191,19.29438578,19.51100492,19.72433377,19.93518553,20.14444081,20.35340051,20.53389691,20.71730847,20.90648731,21.11168265,21.41871982,21.75876289,22.1171716,22.49398951,22.88817062,23.29748951,23.71897019,24.14940473,24.58581573,25.0258649,25.46808003
Scrap availability,World,BAU,691.5550719,707.8281744,725.1190185,743.4661833,762.9368751,783.5496527,805.2557671,827.988654,851.6705184,876.2302782,901.5952617,927.6569691,954.2752034,981.317078,1008.702544,1036.403977,1064.429223,1092.793894,1121.499715,1150.516701,1179.780523,1209.193342,1238.630037,1267.930676,1296.904984,1325.329748,1352.964545,1379.575317,1404.960891,1428.985807,1451.580791
Scrap availability,World,High Circ,721.7297655,733.83298,746.8930554,760.7701211,775.5503415,791.3282058,808.2064621,826.3679236,846.0652125,867.5313855,890.9086479,913.7038013,938.1652544,964.0798066,991.1522125,1019.049413,1045.622925,1072.266633,1098.708685,1124.996887,1153.875739,1182.457123,1209.946662,1236.116214,1260.736075,1283.583585,1304.456327,1323.18374,1339.635397,1353.729377,1365.431445
