Steel Type,Scenario,Year,Value,Units,Source,Excel Tab
Scrap,Circular,2025,791,Mt,RMI,Tech availability
Scrap,Circular,2026,808,Mt,RMI,Tech availability
Scrap,Circular,2027,826,Mt,RMI,Tech availability
Scrap,Circular,2028,846,Mt,RMI,Tech availability
Scrap,Circular,2029,868,Mt,RMI,Tech availability
Scrap,Circular,2030,891,Mt,RMI,Tech availability
Scrap,Circular,2031,914,Mt,RMI,Tech availability
Scrap,Circular,2032,938,Mt,RMI,Tech availability
Scrap,Circular,2033,964,Mt,RMI,Tech availability
Scrap,Circular,2034,991,Mt,RMI,Tech availability
Scrap,Circular,2035,1019,Mt,RMI,Tech availability
Scrap,Circular,2036,1046,Mt,RMI,Tech availability
Scrap,Circular,2037,1072,Mt,RMI,Tech availability
Scrap,Circular,2038,1099,Mt,RMI,Tech availability
Scrap,Circular,2039,1125,Mt,RMI,Tech availability
Scrap,Circular,2040,1154,Mt,RMI,Tech availability
Scrap,Circular,2041,1182,Mt,RMI,Tech availability
Scrap,Circular,2042,1210,Mt,RMI,Tech availability
Scrap,Circular,2043,1236,Mt,RMI,Tech availability
Scrap,Circular,2044,1261,Mt,RMI,Tech availability
Scrap,Circular,2045,1284,Mt,RMI,Tech availability
Scrap,Circular,2046,1304,Mt,RMI,Tech availability
Scrap,Circular,2047,1323,Mt,RMI,Tech availability
Scrap,Circular,2048,1340,Mt,RMI,Tech availability
Scrap,Circular,2049,1354,Mt,RMI,Tech availability
Scrap,Circular,2050,1365,Mt,RMI,Tech availability
